country,continent,date,total_cases,total_deaths,population,median_age,diabetes_prevalence,latitude,longitude
Guatemala,North America,10/26/2020,104787,3644,17915567,22.9,10.18,15.783471,-90.230759
Guernsey,Europe,10/26/2020,265,13,67052,NA,NA,49.465691,-2.585278
Guinea,Africa,10/26/2020,11669,71,13132792,19,2.42,9.945587,-9.696645
Guinea-Bissau,Africa,10/26/2020,2403,41,1967998,19.4,2.42,11.803749,-15.180413
Guyana,South America,10/26/2020,4023,119,786559,26.3,11.62,4.860416,-58.93018
Haiti,North America,10/26/2020,9026,232,11402533,24.3,6.65,18.971187,-72.285215
Honduras,North America,10/26/2020,93214,2623,9904608,24.9,7.21,15.199999,-86.241905
Hungary,Europe,10/26/2020,61563,1472,9660350,43.4,7.55,47.162494,19.503304
Iceland,Europe,10/26/2020,4448,11,341250,37.3,5.31,64.963051,-19.020835
India,Asia,10/26/2020,7909959,119014,1380004385,28.2,10.39,20.593684,78.96288
Indonesia,Asia,10/26/2020,389712,13299,273523621,29.3,6.32,-0.789275,113.921327
Iran,Asia,10/26/2020,568896,32616,83992953,32.4,9.59,32.427908,53.688046
Iraq,Asia,10/26/2020,451707,10623,40222503,20,8.83,33.223191,43.679291
Ireland,Europe,10/26/2020,57128,1882,4937796,38.7,3.28,53.41291,-8.24389
Isle of Man,Europe,10/26/2020,348,24,85032,NA,NA,54.236107,-4.548056
Israel,Asia,10/26/2020,310148,2397,8655541,30.6,6.74,31.046051,34.851612
Italy,Europe,10/26/2020,525782,37338,60461828,47.9,4.78,41.87194,12.56738
Jamaica,North America,10/26/2020,8714,188,2961161,31.4,11.28,18.109581,-77.297508
Japan,Asia,10/26/2020,97074,1718,126476458,48.2,5.72,36.204824,138.252924
Jersey,Europe,10/26/2020,530,32,101073,NA,NA,49.214439,-2.13125
Jordan,Asia,10/26/2020,53087,579,10203140,23.2,11.75,30.585164,36.238414
Kazakhstan,Asia,10/26/2020,147463,2190,18776707,30.6,7.11,48.019573,66.923684
Kenya,Africa,10/26/2020,49721,902,53771300,20,2.92,-0.023559,37.906193
Kosovo,Europe,10/26/2020,17943,663,1932774,NA,NA,42.602636,20.902977
Kuwait,Asia,10/26/2020,121635,746,4270563,33.7,15.84,29.31166,47.481766
Kyrgyzstan,Asia,10/26/2020,56170,1134,6524191,26.3,7.11,41.20438,74.766098
Laos,Asia,10/26/2020,24,0,7275556,24.4,4,19.85627,102.495496
Latvia,Europe,10/26/2020,4678,56,1886202,43.9,4.91,56.879635,24.603189
Lebanon,Asia,10/26/2020,71390,565,6825442,31.1,12.71,33.854721,35.862285
Lesotho,Africa,10/26/2020,1940,43,2142252,22.2,3.94,-29.609988,28.233608
Liberia,Africa,10/26/2020,1393,82,5057677,19.2,2.42,6.428055,-9.429499
Libya,Africa,10/26/2020,56013,795,6871287,29,10.43,26.3351,17.228331
Liechtenstein,Europe,10/26/2020,365,1,38137,NA,7.77,47.166,9.555373
Lithuania,Europe,10/26/2020,10184,134,2722291,43.5,3.67,55.169438,23.881275
Luxembourg,Europe,10/26/2020,14204,145,625976,39.7,4.42,49.815273,6.129583
Macedonia,Europe,10/26/2020,26954,919,2083380,39.1,10.08,41.613,21.743
Madagascar,Africa,10/26/2020,16968,244,27691019,19.6,3.94,-18.766947,46.869107
Malawi,Africa,10/26/2020,5890,183,19129955,18.1,3.94,-13.254308,34.301525
Malaysia,Asia,10/26/2020,26565,229,32365998,29.9,16.74,4.210484,101.975766
Maldives,Asia,10/26/2020,11505,37,540542,30.6,9.19,3.202778,73.22068
Mali,Africa,10/26/2020,3490,133,20250834,16.4,2.42,17.570692,-3.996166
Malta,Europe,10/26/2020,5373,50,441539,42.4,8.83,35.937496,14.375416
Mauritania,Africa,10/26/2020,7662,163,4649660,20.3,2.42,21.00789,-10.940835
Mauritius,Africa,10/26/2020,435,10,1271767,37.4,22.02,-20.348404,57.552152
Mexico,North America,10/26/2020,891160,88924,128932753,29.3,13.06,23.634501,-102.552784
